train_number,train_name,type,from_code,from_name,departure_time,to_code,to_name,arrival_time,duration,distance_km,avg_speed_kmph,total_halts,run_days
20701,Secunderabad - Tirupati Vande Bharat Express,Vande Bharat Express,SC,Secunderabad Jn,06:10,TPTY,Tirupati,14:35,8h 25m,661.9,78.6,7,"mon,wed,thu,fri,sat,sun"
20702,Tirupati - Secunderabad Vande Bharat Express,Vande Bharat Express,TPTY,Tirupati,15:15,SC,Secunderabad Jn,23:42,8h 27m,661.9,78.3,7,"mon,wed,thu,fri,sat,sun"
20703,Kacheguda - Yesvantpur Vande Bharat Express,Vande Bharat Express,KCG,Kacheguda,05:45,YPR,Yesvantpur Jn,14:00,8h 15m,611.1,74.1,7,"mon,tue,thu,fri,sat,sun"
20704,Yesvantpur - Kacheguda Vande Bharat Express,Vande Bharat Express,YPR,Yesvantpur Jn,14:45,KCG,Kacheguda,23:00,8h 15m,611.1,74.1,7,"mon,tue,thu,fri,sat,sun"
20705,Nanded - Mumbai CSMT Vande Bharat Express,Vande Bharat Express,NED,Nanded,05:20,CSMT,Mumbai CSMT,14:15,8h 55m,605.9,68,10,"mon,tue,thu,fri,sat,sun"
20706,Mumbai CSMT - Nanded Vande Bharat Express,Vande Bharat Express,CSMT,Mumbai CSMT,13:15,NED,Nanded,22:25,9h 10m,605.9,66.1,10,"mon,tue,wed,fri,sat,sun"
20707,Secunderabad - Visakhapatnam Vande Bharat Express,Vande Bharat Express,SC,Secunderabad Jn,05:00,VSKP,Visakhapatnam,13:50,8h 50m,699.2,79.2,8,"tue,wed,thu,fri,sat,sun"
20708,Visakhapatnam - Secunderabad Vande Bharat Express,Vande Bharat Express,VSKP,Visakhapatnam,14:30,SC,Secunderabad Jn,23:25,8h 55m,699.2,78.4,8,"tue,wed,thu,fri,sat,sun"
20825,Bilaspur - Nagpur Vande Bharat Express,Vande Bharat Express,BSP,Bilaspur Jn,06:45,NGP,Nagpur Jn,12:15,5h 30m,412.1,74.9,7,"mon,tue,wed,thu,fri,sun"
20826,Nagpur - Bilaspur Vande Bharat Express,Vande Bharat Express,NGP,Nagpur Jn,14:05,BSP,Bilaspur Jn,19:25,5h 20m,412,77.3,7,"mon,tue,wed,thu,fri,sun"
20829,Durg - Visakhapatnam Vande Bharat Express,Vande Bharat Express,DURG,Durg,05:45,VSKP,Visakhapatnam,13:55,8h 10m,566.1,69.3,11,"mon,tue,wed,fri,sat,sun"
20830,Visakhapatnam - Durg Vande Bharat Express,Vande Bharat Express,VSKP,Visakhapatnam,14:50,DURG,Durg,22:50,8h 0m,566.3,70.8,11,"mon,tue,wed,fri,sat,sun"
20833,Visakhapatnam - Secunderabad Vande Bharat Express,Vande Bharat Express,VSKP,Visakhapatnam,05:45,SC,Secunderabad Jn,14:20,8h 35m,699.2,81.5,7,"mon,wed,thu,fri,sat,sun"
20834,Secunderabad - Visakhapatnam Vande Bharat Express,Vande Bharat Express,SC,Secunderabad Jn,15:00,VSKP,Visakhapatnam,23:35,8h 35m,699.2,81.5,7,"mon,wed,thu,fri,sat,sun"
20835,Rourkela - Puri Vande Bharat Express,Vande Bharat Express,ROU,Rourkela,14:00,PURI,Puri,21:40,7h 40m,505.7,66,11,"mon,wed,thu,fri,sat,sun"
20836,Puri - Rourkela Vande Bharat Express,Vande Bharat Express,PURI,Puri,05:00,ROU,Rourkela,12:45,7h 45m,505.7,65.3,11,"mon,wed,thu,fri,sat,sun"
20842,Visakhapatnam - Bhubaneswar Vande Bharat Express,Vande Bharat Express,VSKP,Visakhapatnam,15:30,BBS,Bhubaneswar,21:30,6h 0m,444,74,9,"tue,wed,thu,fri,sat,sun"
20871,Howrah - Rourkela Vande Bharat Express,Vande Bharat Express,HWH,Howrah,06:00,ROU,Rourkela,12:05,6h 5m,413.8,68,5,"mon,wed,thu,fri,sat,sun"
20872,Rourkela - Howrah Vande Bharat Express,Vande Bharat Express,ROU,Rourkela,13:30,HWH,Howrah,19:50,6h 20m,413.8,65.3,5,"mon,wed,thu,fri,sat,sun"
20887,Ranchi - Varanasi Vande Bharat Express,Vande Bharat Express,RNC,Ranchi,05:10,BSB,Varanasi Jn,13:00,7h 50m,540.5,69,10,"mon,wed,thu,fri,sat,sun"
20888,Varanasi - Ranchi Vande Bharat Express,Vande Bharat Express,BSB,Varanasi Jn,16:05,RNC,Ranchi,23:55,7h 50m,543.5,69.4,10,"mon,wed,thu,fri,sat,sun"
20891,Tatanagar - Brahmapur Vande Bharat Express,Vande Bharat Express,TATA,Tatanagar Jn,14:20,BAM,Brahmapur,23:55,9h 35m,587.2,61.3,11,"mon,wed,thu,fri,sat,sun"
20892,Brahmapur - Tatanagar Vande Bharat Express,Vande Bharat Express,BAM,Brahmapur,05:15,TATA,Tatanagar Jn,14:50,9h 35m,587.2,61.3,11,"mon,wed,thu,fri,sat,sun"
20893,Tatanagar - Patna Vande Bharat Express,Vande Bharat Express,TATA,Tatanagar Jn,05:25,PNBE,Patna Jn,12:45,7h 20m,454.3,61.9,9,"wed,thu,fri,sat"
20894,Patna - Tatanagar Vande Bharat Express,Vande Bharat Express,PNBE,Patna Jn,14:05,TATA,Tatanagar Jn,21:40,7h 35m,449,59.2,9,"wed,thu,fri,sat"
20897,Howrah - Ranchi Vande Bharat Express,Vande Bharat Express,HWH,Howrah,14:35,RNC,Ranchi,22:00,7h 25m,462.5,62.4,8,"mon,wed,thu,fri,sat,sun"
20898,Ranchi - Howrah Vande Bharat Express,Vande Bharat Express,RNC,Ranchi,06:00,HWH,Howrah,13:10,7h 10m,459.5,64.1,8,"mon,wed,thu,fri,sat,sun"
20911,Indore - Nagpur Vande Bharat Express,Vande Bharat Express,INDB,Indore Jn,06:10,NGP,Nagpur Jn,14:35,8h 25m,634.1,75.3,7,"mon,tue,wed,thu,fri,sat"
20912,Nagpur - Indore Vande Bharat Express,Vande Bharat Express,NGP,Nagpur Jn,15:20,INDB,Indore Jn,23:50,8h 30m,634.1,74.6,7,"mon,tue,wed,thu,fri,sat"
20977,Ajmer - Chandigarh Vande Bharat Express,Vande Bharat Express,AII,Ajmer Jn,06:10,CDG,Chandigarh,14:45,8h 35m,678.2,79,10,"mon,tue,thu,fri,sat,sun"
20978,Chandigarh - Ajmer Vande Bharat Express,Vande Bharat Express,CDG,Chandigarh,15:15,AII,Ajmer Jn,23:58,8h 43m,678.2,77.8,10,"mon,tue,thu,fri,sat,sun"
21893,Tatanagar - Patna Vande Bharat Express,Vande Bharat Express,TATA,Tatanagar Jn,05:25,PNBE,Patna Jn,15:55,10h 30m,647.2,61.6,9,sun
21894,Patna - Tatanagar Vande Bharat Express,Vande Bharat Express,PNBE,Patna Jn,13:20,TATA,Tatanagar Jn,23:55,10h 35m,641.9,60.7,9,mon
21895,Tatanagar - Patna Vande Bharat Express,Vande Bharat Express,TATA,Tatanagar Jn,05:25,PNBE,Patna Jn,12:45,7h 20m,454.3,61.9,9,mon
21896,Patna - Tatanagar Vande Bharat Express,Vande Bharat Express,PNBE,Patna Jn,16:45,TATA,Tatanagar Jn,23:55,7h 10m,449,62.7,9,sun
22223,Mumbai CSMT - Sainagar Shirdi Vande Bharat Express,Vande Bharat Express,CSMT,Mumbai CSMT,06:20,SNSI,Sainagar Shirdi,11:30,5h 10m,341.2,66,6,"mon,wed,thu,fri,sat,sun"
22224,Sainagar Shirdi - Mumbai CSMT Vande Bharat Express,Vande Bharat Express,SNSI,Sainagar Shirdi,17:45,CSMT,Mumbai CSMT,22:50,5h 5m,341.2,67.1,6,"mon,wed,thu,fri,sat,sun"
22225,Mumbai CSMT - Solapur Vande Bharat Express,Vande Bharat Express,CSMT,Mumbai CSMT,16:05,SUR,Solapur,22:40,6h 35m,453.1,68.8,8,"mon,tue,thu,fri,sat,sun"
22226,Solapur - Mumbai CSMT Vande Bharat Express,Vande Bharat Express,SUR,Solapur,06:05,CSMT,Mumbai CSMT,12:35,6h 30m,453.4,69.8,8,"mon,tue,wed,fri,sat,sun"
22227,New Jalpaiguri - Guwahati Vande Bharat Express,Vande Bharat Express,NJP,New Jalpaiguri Jn,06:10,GHY,Guwahati,11:40,5h 30m,407.1,74,10,"mon,wed,thu,fri,sat,sun"
22228,Guwahati - New Jalpaiguri Vande Bharat Express,Vande Bharat Express,GHY,Guwahati,16:30,NJP,New Jalpaiguri Jn,22:00,5h 30m,407.1,74,10,"mon,wed,thu,fri,sat,sun"
22229,Mumbai CSMT - Madgaon Vande Bharat Express,Vande Bharat Express,CSMT,Mumbai CSMT,05:25,MAO,Madgaon,16:00,10h 35m,582.3,55,9,"mon,wed,fri"
22230,Madgaon - Mumbai CSMT Vande Bharat Express,Vande Bharat Express,MAO,Madgaon,12:20,CSMT,Mumbai CSMT,22:30,10h 10m,582.8,57.3,9,"tue,thu,sat"
22231,Kalaburagi - SMVT Bengaluru Vande Bharat Express,Vande Bharat Express,KLBG,Kalaburagi,06:10,SMVB,SMVT Bengaluru,14:10,8h 0m,561.5,70.2,9,"mon,tue,wed,thu,sat,sun"
22232,SMVT Bengaluru - Kalaburagi Vande Bharat Express,Vande Bharat Express,SMVB,SMVT Bengaluru,14:40,KLBG,Kalaburagi,22:40,8h 0m,561.5,70.2,9,"mon,tue,wed,fri,sat,sun"
22233,New Jalpaiguri - Patna Vande Bharat Express,Vande Bharat Express,NJP,New Jalpaiguri Jn,05:10,PNBE,Patna Jn,12:10,7h 0m,470.2,67.2,9,"mon,wed,thu,fri,sat,sun"
22234,Patna - New Jalpaiguri Vande Bharat Express,Vande Bharat Express,PNBE,Patna Jn,13:00,NJP,New Jalpaiguri Jn,20:05,7h 5m,470.2,66.4,9,"mon,wed,thu,fri,sat,sun"
22301,Howrah - New Jalpaiguri Vande Bharat Express,Vande Bharat Express,HWH,Howrah,05:55,NJP,New Jalpaiguri Jn,13:30,7h 35m,561.9,74.1,6,"mon,tue,thu,fri,sat,sun"
22302,New Jalpaiguri - Howrah Vande Bharat Express,Vande Bharat Express,NJP,New Jalpaiguri Jn,14:55,HWH,Howrah,22:30,7h 35m,561.9,74.1,6,"mon,tue,thu,fri,sat,sun"
22303,Howrah - Gaya Vande Bharat Express,Vande Bharat Express,HWH,Howrah,06:45,GAYA,Gaya Jn,12:30,5h 45m,461.3,80.2,7,"mon,tue,wed,fri,sat,sun"
22304,Gaya - Howrah Vande Bharat Express,Vande Bharat Express,GAYA,Gaya Jn,15:15,HWH,Howrah,21:10,5h 55m,461.3,78,7,"mon,tue,wed,fri,sat,sun"
22345,Patna - Gomti Nagar Vande Bharat Express,Vande Bharat Express,PNBE,Patna Jn,06:05,GTNR,Gomti Nagar,14:35,8h 30m,550.4,64.8,7,"mon,tue,wed,thu,sat,sun"
22346,Gomti Nagar - Patna Vande Bharat Express,Vande Bharat Express,GTNR,Gomti Nagar,15:20,PNBE,Patna Jn,23:45,8h 25m,544.8,64.7,7,"mon,tue,wed,thu,sat,sun"
22347,Howrah - Patna Vande Bharat Express,Vande Bharat Express,HWH,Howrah,15:50,PNBE,Patna Jn,22:40,6h 50m,531.3,77.8,11,"mon,tue,thu,fri,sat,sun"
22348,Patna - Howrah Vande Bharat Express,Vande Bharat Express,PNBE,Patna Jn,08:00,HWH,Howrah,14:35,6h 35m,531.2,80.7,11,"mon,tue,thu,fri,sat,sun"
22349,Patna - Ranchi Vande Bharat Express,Vande Bharat Express,PNBE,Patna Jn,07:00,RNC,Ranchi,13:05,6h 5m,378.2,62.2,8,"mon,wed,thu,fri,sat,sun"
22350,Ranchi - Patna Vande Bharat Express,Vande Bharat Express,RNC,Ranchi,16:15,PNBE,Patna Jn,22:10,5h 55m,383.5,64.8,8,"mon,wed,thu,fri,sat,sun"
22425,Ayodhya Cantt - Anand Vihar Terminal Vande Bharat Express,Vande Bharat Express,AYC,Ayodhya Cantt,15:25,ANVT,Anand Vihar Terminal,23:40,8h 15m,633.3,76.8,6,"mon,tue,thu,fri,sat,sun"
22426,Anand Vihar Terminal - Ayodhya Cantt Vande Bharat Express,Vande Bharat Express,ANVT,Anand Vihar Terminal,06:10,AYC,Ayodhya Cantt,14:30,8h 20m,627.6,75.3,6,"mon,tue,thu,fri,sat,sun"
22435,Varanasi - New Delhi Vande Bharat Express,Vande Bharat Express,BSB,Varanasi Jn,15:00,NDLS,New Delhi,23:00,8h 0m,760.4,95,4,"mon,tue,wed,fri,sat,sun"
22436,New Delhi - Varanasi Vande Bharat Express,Vande Bharat Express,NDLS,New Delhi,06:00,BSB,Varanasi Jn,14:00,8h 0m,760.4,95,4,"mon,tue,wed,fri,sat,sun"
22439,New Delhi - SMVD Katra Vande Bharat Express,Vande Bharat Express,NDLS,New Delhi,06:00,SVDK,Shri Mata Vaishno Devi Katra,14:20,8h 20m,654.7,78.6,7,"mon,tue,thu,fri,sat,sun"
22469,Khajauraho - Hazrat Nizamuddin Vande Bharat Express,Vande Bharat Express,KURJ,Khajauraho,14:50,NZM,Hazrat Nizamuddin Jn,23:10,8h 20m,659.4,79.1,9,"tue,wed,thu,fri,sat,sun"
22470,Hazrat Nizamuddin - Khajauraho Vande Bharat Express,Vande Bharat Express,NZM,Hazrat Nizamuddin Jn,06:00,KURJ,Khajauraho,14:20,8h 20m,659.4,79.1,9,"tue,wed,thu,fri,sat,sun"
22489,Varanasi - Meerut City Vande Bharat Express,Vande Bharat Express,BSB,Varanasi Jn,09:10,MTC,Meerut City Jn,21:05,11h 55m,787.2,66.1,7,"mon,wed,thu,fri,sat,sun"
22490,Meerut City - Varanasi Vande Bharat Express,Vande Bharat Express,MTC,Meerut City Jn,06:35,BSB,Varanasi Jn,18:25,11h 50m,781.6,66.1,7,"mon,wed,thu,fri,sat,sun"
22499,Deoghar - Varanasi Vande Bharat Express,Vande Bharat Express,DGHR,Deoghar,15:10,BSB,Varanasi Jn,22:30,7h 20m,456.9,62.3,8,"mon,wed,thu,fri,sat,sun"
22500,Varanasi - Deoghar Vande Bharat Express,Vande Bharat Express,BSB,Varanasi Jn,06:20,DGHR,Deoghar,13:40,7h 20m,456.9,62.3,8,"mon,wed,thu,fri,sat,sun"
22545,Lucknow - Dehra Dun Vande Bharat Express,Vande Bharat Express,LKO,Lucknow Jn,,DDN,Dehra Dun,13:40,13h 40m,543.5,39.8,7,"tue,wed,thu,fri,sat,sun"
22546,Dehra Dun - Lucknow Vande Bharat Express,Vande Bharat Express,DDN,Dehra Dun,14:25,LJN,Lucknow Jn,22:40,8h 15m,543.7,65.9,7,"tue,wed,thu,fri,sat,sun"
22549,Gorakhpur - Prayagraj Vande Bharat Express,Vande Bharat Express,GKP,Gorakhpur Jn,06:05,PRYJ,Prayagraj Jn,13:35,7h 30m,502.8,67,6,"mon,tue,wed,thu,fri,sun"
22550,Prayagraj - Gorakhpur Vande Bharat Express,Vande Bharat Express,PRYJ,Prayagraj Jn,15:15,GKP,Gorakhpur Jn,22:40,7h 25m,497.2,67,6,"mon,tue,wed,thu,fri,sun"
22895,Howrah - Puri Vande Bharat Express,Vande Bharat Express,HWH,Howrah,06:10,PURI,Puri,13:00,6h 50m,499.9,73.2,9,"mon,tue,wed,fri,sat,sun"
22896,Puri - Howrah Vande Bharat Express,Vande Bharat Express,PURI,Puri,13:40,HWH,Howrah,20:30,6h 50m,499.9,73.2,9,"mon,tue,wed,fri,sat,sun"
26101,Pune - Ajni Vande Bharat Express,Vande Bharat Express,PUNE,Pune Jn,06:25,AJNI,Ajni,18:25,12h 0m,881.7,73.5,12,"mon,wed,thu,fri,sat,sun"
26102,Ajni - Pune Vande Bharat Express,Vande Bharat Express,AJNI,Ajni,09:50,PUNE,Pune Jn,21:50,12h 0m,881.6,73.5,12,"tue,wed,thu,fri,sat,sun"
26301,Jogbani - Danapur Vande Bharat Express,Vande Bharat Express,JBN,Jogbani,03:30,DNR,Danapur,11:40,8h 10m,447,54.7,14,"mon,tue,thu,fri,sat,sun"
26302,Danapur - Jogbani Vande Bharat Express,Vande Bharat Express,DNR,Danapur,17:10,JBN,Jogbani,01:20,8h 10m,447,54.7,14,"mon,wed,thu,fri,sat,sun"
26401,Jammu Tawi - Srinagar Vande Bharat Express,Vande Bharat Express,JAT,Jammu Tawi,06:20,SINA,Srinagar,11:10,4h 50m,267.7,55.4,6,"mon,wed,thu,fri,sat,sun"
26402,Srinagar - Jammu Tawi Vande Bharat Express,Vande Bharat Express,SINA,Srinagar,14:00,JAT,Jammu Tawi,18:50,4h 50m,267.7,55.4,6,"mon,wed,thu,fri,sat,sun"
26403,Jammu Tawi - Srinagar Vande Bharat Express,Vande Bharat Express,JAT,Jammu Tawi,13:20,SINA,Srinagar,18:05,4h 45m,267.7,56.4,5,"mon,tue,thu,fri,sat,sun"
26404,Srinagar - Jammu Tawi Vande Bharat Express,Vande Bharat Express,SINA,Srinagar,08:00,JAT,Jammu Tawi,12:45,4h 45m,267.7,56.4,5,"mon,tue,thu,fri,sat,sun"
26405,Amritsar - SMVD Katra Vande Bharat Express,Vande Bharat Express,ASR,Amritsar Jn,16:40,SVDK,Shri Mata Vaishno Devi Katra,21:45,5h 5m,284.4,55.9,6,"mon,tue,wed,thu,fri,sun"
